resyn2rs-alu4,14,8,629,475.414,34
r2rs-alu4,14,8,629,475.414,34
compress2rs-alu4,14,8,627,474.531,38
c2rs-alu4,14,8,627,474.531,38
resyn2-amd,14,24,397,365.115,13
src_rws-amd,14,24,394,351.914,17
resyn2a-amd,14,24,441,402.157,14
resyn3-amd,14,24,484,434.315,14
compress-amd,14,24,444,404.134,14
compress2-amd,14,24,392,359.734,13
choice-amd,14,24,171,147.421,15
choice2-amd,14,24,162,144.48,10
src_rw-amd,14,24,458,414.364,17
src_rs-amd,14,24,441,394.917,19
src_rws-amd,14,24,394,351.914,17
resyn2rs-amd,14,24,352,318.761,13
r2rs-amd,14,24,352,318.761,13
compress2rs-amd,14,24,351,318.73,15
c2rs-amd,14,24,351,318.73,15
